搇	揿
緘	缄
嬌	娇
賡	赓
軃	亸
轔	辚
襴	襕
蓴	莼
骾	鲠
餳	饧
霛	灵
氾	泛
紗	纱
鯛	鲷
綾	绫
彜	彝
硃	朱
云	云
瀦	潴
玀	猡
槤	梿
親	亲
佇	伫
划	划
墳	坟
槼	规
潟	舄
紳	绅
築	筑
鷊	鹝
戶	户
迴	回
髩	鬓
閿	阌
槳	桨
蘀	萚
輊	轾
琿	珲
諸	诸
騎	骑
讌	燕
煬	炀
際	际
鎦	镏
們	们
淀	淀
蹤	踪
阬	坑
鶩	鹜
毿	毵
鉿	铪
竄	窜
聞	闻
蔴	麻
燿	耀
碭	砀
懇	恳
瓏	珑
魯	鲁
殻	壳
志	志
誘	诱
鉺	铒
甎	砖
縳	䌸
據	据
緻	致
竅	窍
無	无
飄	飘
縱	纵
圇	囵
殫	殚
讅	审
遞	递
嶄	崭
掛	挂
戀	恋
羶	膻
蓋	盖
鄖	郧
幣	币
躑	踯
篩	筛
颮	飑
餃	饺
龎	厐
眡	视
罰	罚
虜	虏
駱	骆
陸	陆
錈	锩
纔	才
穨	颓
鈍	钝
鎔	镕
廻	回
蠶	蚕
蹟	迹
艪	橹
鎄	锿
虫	虫
鏚	戚
鮚	鲒
銷	销
髮	发
達	达
窯	窑
譖	谮
斃	毙
鍺	锗
鮒	鲋
謊	谎
蝨	虱
浹	浃
鉻	铬
紋	纹
訢	䜣
鈴	铃
殨	㱮
軼	轶
閹	阉
鯔	鲻
濫	滥
廠	厂
盞	盏
漣	涟
攤	摊
鰐	鳄
濬	浚
鈧	钪
饞	馋
敵	敌
軟	软
瞜	䁖
齦	龈
輳	辏
須	须
崠	岽
俠	侠
圖	图
綞	缍
棗	枣
訩	讻
楨	桢
鑲	镶
誰	谁
綌	绤
劌	刿
偉	伟
慘	惨
適	适
絨	绒
齶	腭
僱	雇
擊	击
臺	台
鐳	镭
颺	飏
竊	窃
饝	馍
馹	驲
鬮	阄
瀆	渎
躊	踌
銪	铕
糶	粜
剴	剀
躰	体
鍍	镀
賂	赂
侖	仑
輭	软
鎚	锤
僨	偾
鏐	镠
嶁	嵝
櫸	榉
閃	闪
繹	绎
蔆	菱
瘞	瘗
頦	颏
卷	卷
肅	肃
誦	诵
偽	伪
鄧	邓
鬁	疬
淩	凌
撫	抚
萊	莱
貽	贻
輿	舆
髒	脏
鵮	鹐
豶	豮
贋	赝
詳	详
餓	饿
貧	贫
賞	赏
轅	辕
袞	衮
鱓	鳝
緩	缓
覜	眺
藴	蕴
薘	荙
钂	镋
軍	军
貨	货
尅	克
佣	佣
瀋	沈
喲	哟
勢	势
眎	视
溈	沩
諼	谖
琺	珐
餌	饵
詐	诈
絹	绢
檾	苘
氬	氩
麯	曲
鎩	铩
臉	脸
縴	纤
為	为
櫬	榇
駒	驹
酇	酂
鑱	镵
榲	榅
幾	几
眥	眦
痠	酸
讎	仇
煢	茕
軔	轫
釋	释
